product_name,product_link,product_img_link,category,components
Кофе Jacobs Monarch растворимый сублимированный 75 г,https://arbuz.kz/ru/almaty/catalog/item/207214-kofe_jacobs_monarch_rastvorimyi_sublimirovannyi_75_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/file_name__ddde544a-ee92-45fd-a79f-db72678a9e30-8714599512043-1_jpg.jpg?w=%w&h=%h&_c=1734671699,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Barista Crema в зернах 230 г,https://arbuz.kz/ru/almaty/catalog/item/259251-kofe_jacobs_barista_crema_v_zernah_230_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/259251-kofe_jacobs_barista_crema_v_zernah_230_g.jpg?w=460&h=460&_c=1733138640,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе молотый Jacobs Monarch По-Восточному 230 г,https://arbuz.kz/ru/almaty/catalog/item/257014-kofe_molotyi_jacobs_monarch_po-vostochnomu_230_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/257014-kofe_molotyi_jacobs_monarch_po-vostochnomu_230_g.png?w=460&h=460&_c=1723182100,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Barista Americano растворимый с молотым 130 г,https://arbuz.kz/ru/almaty/catalog/item/257019-kofe_jacobs_barista_americano_rastvorimyi_s_molotym_130_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/257019-kofe_jacobs_barista_americano_rastvorimyi_s_molotym_130_g.jpg?w=460&h=460&_c=1722682749,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Monarch растворимый сублимированный 50 г,https://arbuz.kz/ru/almaty/catalog/item/259240-kofe_jacobs_monarch_rastvorimyi_sublimirovannyi_50_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/file_name__422f7753-599e-42d9-853d-4208076d4e57-8714599103562-1_jpg.jpg?w=%w&h=%h&_c=1734671665,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Caramel Latte 3в1 растворимый 12 г 24 шт,https://arbuz.kz/ru/almaty/catalog/item/273969-kofe_jacobs_caramel_latte_3v1_rastvorimyi_12_g_24_sht?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/273969-kofe_jacobs_caramel_latte_3v1_rastvorimyi_12_g_24_sht.jpg?w=460&h=460&_c=1732520622,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Latte 3в1 растворимый 13 г 24 шт,https://arbuz.kz/ru/almaty/catalog/item/273962-kofe_jacobs_latte_3v1_rastvorimyi_13_g_24_sht?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/273962-kofe_jacobs_latte_3v1_rastvorimyi_13_g_24_sht.jpg?w=460&h=460&_c=1733739961,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs gold растворимый сублимированный с/б 95 г,https://arbuz.kz/ru/almaty/catalog/item/216034-kofe_jacobs_gold_rastvorimyi_sublimirovannyi_s_b_95_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/216034-39-kofe_naturalnyi_rast_ru.jpg?w=460&h=460&_c=1722833782,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе зерновой Jacobs Kronung 500 г,https://arbuz.kz/ru/almaty/catalog/item/320377-kofe_zernovoi_jacobs_kronung_500_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/image__320377-kofe_zernovoi_jacobs_kronung_500_g.jpg?w=460&h=460&_c=1732700339,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе зерновой Jacobs Gold 500 г,https://arbuz.kz/ru/almaty/catalog/item/320378-kofe_zernovoi_jacobs_gold_500_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/image__320378-kofe_zernovoi_jacobs_gold_500_g.jpg?w=460&h=460&_c=1732700340,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
